,decile1b,decile3,decile1,sex,lsat,ugpa,grad,bar1,fulltime,fam_inc,gender,race1,tier
6155,5.0,5.0,5.0,2.0,1,2,0,0,1.0,5.0,1,1,6.0
6160,4.0,4.0,5.0,1.0,1,2,0,1,1.0,4.0,0,1,4.0
6162,7.0,7.0,7.0,1.0,0,2,0,1,1.0,3.0,0,1,1.0
6169,2.0,3.0,2.0,2.0,2,2,0,1,2.0,4.0,1,1,4.0
6177,2.0,2.0,2.0,1.0,0,2,0,1,1.0,3.0,0,1,4.0
6182,8.0,8.0,8.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
6183,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
6184,1.0,2.0,1.0,1.0,0,2,0,0,1.0,3.0,0,1,4.0
6189,3.0,4.0,4.0,1.0,2,2,0,1,1.0,5.0,0,2,6.0
6196,2.0,4.0,2.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
6204,1.0,1.0,1.0,2.0,0,2,0,0,2.0,2.0,1,3,4.0
6207,1.0,1.0,1.0,2.0,2,2,0,0,1.0,2.0,1,0,3.0
6214,2.0,4.0,3.0,1.0,0,2,0,0,1.0,3.0,0,3,3.0
6221,4.0,2.0,4.0,2.0,2,2,0,0,1.0,4.0,1,1,3.0
6226,7.0,7.0,7.0,1.0,3,2,0,1,1.0,4.0,0,1,5.0
6236,3.0,2.0,4.0,1.0,0,2,0,0,1.0,3.0,0,1,1.0
6245,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,3,6.0
6248,8.0,6.0,8.0,1.0,0,2,0,0,1.0,2.0,0,1,2.0
6254,1.0,1.0,2.0,1.0,0,2,0,0,1.0,3.0,0,1,2.0
6260,1.0,1.0,1.0,2.0,0,2,0,0,2.0,3.0,1,1,3.0
6261,2.0,3.0,3.0,1.0,1,2,0,1,1.0,5.0,0,1,4.0
6266,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,1,5.0
6271,6.0,6.0,6.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
6277,1.0,2.0,2.0,1.0,2,2,0,1,1.0,4.0,0,1,4.0
6280,3.0,1.0,3.0,1.0,0,2,0,0,1.0,3.0,0,3,1.0
6281,1.0,1.0,1.0,1.0,0,2,0,1,1.0,4.0,0,4,3.0
6282,3.0,1.0,3.0,2.0,0,2,0,0,1.0,3.0,1,2,3.0
6288,3.0,1.0,4.0,1.0,0,2,0,0,1.0,4.0,0,3,3.0
6301,1.0,2.0,1.0,2.0,2,2,0,0,1.0,3.0,1,1,5.0
6302,6.0,5.0,6.0,1.0,2,2,0,1,1.0,4.0,0,1,5.0
6310,6.0,8.0,6.0,2.0,2,2,0,1,1.0,4.0,1,1,4.0
6311,1.0,1.0,1.0,2.0,1,2,0,0,2.0,4.0,1,1,4.0
6315,1.0,2.0,2.0,1.0,0,2,0,1,1.0,4.0,0,1,3.0
6321,6.0,5.0,6.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
6322,2.0,1.0,3.0,2.0,0,2,0,0,1.0,3.0,1,1,2.0
6330,1.0,1.0,1.0,1.0,2,2,0,0,1.0,4.0,0,0,5.0
6331,7.0,9.0,7.0,1.0,2,2,0,1,1.0,4.0,0,1,3.0
6338,2.0,2.0,3.0,1.0,1,2,0,0,1.0,4.0,0,1,4.0
6342,2.0,2.0,2.0,2.0,2,2,0,1,1.0,3.0,1,1,2.0
6346,9.0,8.0,9.0,1.0,2,2,0,0,1.0,3.0,0,1,2.0
6350,1.0,1.0,2.0,1.0,0,2,0,0,1.0,3.0,0,3,2.0
6353,4.0,2.0,4.0,1.0,1,2,0,1,1.0,4.0,0,1,3.0
6354,5.0,5.0,5.0,2.0,3,2,0,1,1.0,2.0,1,1,3.0
6357,6.0,4.0,6.0,1.0,2,2,0,0,2.0,4.0,0,1,3.0
6370,10.0,9.0,10.0,1.0,3,2,0,1,1.0,4.0,0,1,3.0
6373,8.0,9.0,8.0,2.0,2,2,0,1,1.0,3.0,1,1,3.0
6384,4.0,3.0,5.0,2.0,0,2,0,0,2.0,3.0,1,1,3.0
6390,3.0,4.0,4.0,1.0,0,2,0,0,1.0,2.0,0,1,1.0
6391,7.0,6.0,7.0,2.0,2,2,0,1,1.0,3.0,1,1,4.0
6394,5.0,4.0,5.0,2.0,1,2,0,0,2.0,3.0,1,2,5.0
6398,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,3,4.0
6404,10.0,3.0,10.0,2.0,2,2,0,1,1.0,5.0,1,1,6.0
6405,4.0,5.0,5.0,2.0,2,2,0,1,1.0,4.0,1,1,3.0
6416,5.0,2.0,5.0,1.0,2,2,0,0,2.0,2.0,0,1,5.0
6430,2.0,2.0,2.0,1.0,0,2,0,0,1.0,3.0,0,3,3.0
6436,3.0,6.0,3.0,2.0,0,2,0,0,2.0,4.0,1,1,3.0
6440,4.0,5.0,4.0,1.0,0,2,0,0,1.0,3.0,0,1,3.0
6441,9.0,7.0,9.0,2.0,0,2,0,0,1.0,4.0,1,0,3.0
6449,4.0,4.0,5.0,1.0,2,2,0,0,2.0,4.0,0,1,5.0
6455,6.0,7.0,6.0,1.0,2,2,0,1,1.0,4.0,0,1,3.0
6457,1.0,1.0,1.0,2.0,0,2,0,0,1.0,5.0,1,1,2.0
6459,2.0,1.0,3.0,2.0,0,2,0,0,1.0,4.0,1,1,4.0
6461,1.0,3.0,1.0,1.0,0,2,0,0,1.0,2.0,0,1,3.0
6468,2.0,2.0,2.0,1.0,2,2,0,0,1.0,4.0,0,4,5.0
6470,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,4,6.0
6475,9.0,10.0,9.0,1.0,2,2,0,0,1.0,3.0,0,1,2.0
6476,4.0,4.0,5.0,2.0,1,2,0,1,1.0,4.0,1,1,5.0
6479,6.0,7.0,6.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
6482,3.0,1.0,3.0,2.0,0,2,0,1,1.0,2.0,1,0,4.0
6497,3.0,3.0,3.0,1.0,2,2,0,1,1.0,3.0,0,1,5.0
6503,1.0,2.0,1.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
6506,1.0,1.0,1.0,1.0,2,2,0,0,1.0,3.0,0,3,4.0
6511,3.0,1.0,3.0,2.0,1,2,0,0,1.0,5.0,1,1,5.0
6515,2.0,1.0,2.0,1.0,1,2,0,0,1.0,3.0,0,1,6.0
6516,4.0,7.0,5.0,1.0,0,2,0,1,1.0,2.0,0,1,2.0
6528,7.0,8.0,7.0,2.0,3,2,0,1,1.0,2.0,1,0,4.0
6532,3.0,3.0,4.0,2.0,0,2,0,0,1.0,3.0,1,1,2.0
6535,2.0,2.0,2.0,2.0,0,2,0,0,1.0,3.0,1,0,5.0
6537,8.0,8.0,8.0,1.0,0,2,0,1,1.0,4.0,0,1,3.0
6538,5.0,10.0,5.0,1.0,0,2,0,1,2.0,3.0,0,1,3.0
6555,3.0,4.0,4.0,1.0,2,2,0,1,1.0,3.0,0,1,4.0
6557,9.0,7.0,9.0,1.0,1,2,0,1,1.0,3.0,0,1,5.0
6565,3.0,4.0,4.0,2.0,2,2,0,1,1.0,3.0,1,1,4.0
6579,2.0,1.0,2.0,2.0,0,2,0,1,1.0,2.0,1,3,6.0
6586,1.0,5.0,2.0,1.0,0,2,0,0,2.0,4.0,0,1,3.0
6594,8.0,6.0,8.0,1.0,2,2,0,1,1.0,4.0,0,1,4.0
6603,9.0,8.0,9.0,2.0,2,2,0,1,1.0,2.0,1,1,3.0
6624,6.0,3.0,6.0,1.0,1,2,0,0,1.0,3.0,0,1,3.0
6625,2.0,4.0,3.0,1.0,0,2,0,1,1.0,4.0,0,1,2.0
6634,5.0,5.0,5.0,2.0,0,2,0,0,1.0,3.0,1,1,2.0
6640,1.0,1.0,1.0,1.0,0,2,0,0,1.0,3.0,0,3,3.0
6643,5.0,8.0,5.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
6646,1.0,2.0,1.0,2.0,3,2,0,0,1.0,3.0,1,1,4.0
6647,5.0,3.0,5.0,2.0,2,2,0,0,1.0,3.0,1,1,3.0
6653,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
6656,5.0,5.0,6.0,2.0,2,2,0,1,1.0,3.0,1,1,4.0
6665,1.0,1.0,1.0,2.0,2,2,0,0,1.0,4.0,1,3,5.0
6671,7.0,9.0,8.0,2.0,3,2,0,1,1.0,2.0,1,1,4.0
6676,6.0,9.0,6.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
6680,2.0,4.0,3.0,1.0,0,2,0,1,1.0,3.0,0,1,3.0
6697,2.0,5.0,3.0,2.0,2,2,0,1,1.0,5.0,1,1,3.0
6700,2.0,2.0,3.0,2.0,3,2,0,0,1.0,1.0,1,1,2.0
6712,2.0,1.0,3.0,1.0,3,2,0,0,1.0,4.0,0,1,5.0
6719,9.0,7.0,9.0,2.0,2,2,0,1,1.0,2.0,1,1,3.0
6726,8.0,8.0,8.0,1.0,2,2,0,1,1.0,3.0,0,1,2.0
6730,3.0,2.0,3.0,2.0,1,2,0,1,1.0,3.0,1,1,4.0
6740,3.0,1.0,3.0,1.0,2,2,0,1,1.0,2.0,0,1,3.0
6744,5.0,3.0,6.0,2.0,0,2,0,1,1.0,1.0,1,1,2.0
6749,2.0,2.0,3.0,2.0,2,2,0,0,1.0,4.0,1,1,3.0
6754,1.0,1.0,1.0,2.0,3,2,0,0,1.0,3.0,1,1,5.0
6761,3.0,4.0,4.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
6764,5.0,3.0,5.0,2.0,1,2,0,0,2.0,4.0,1,1,5.0
6768,2.0,1.0,2.0,2.0,0,2,0,0,1.0,3.0,1,3,3.0
6772,3.0,2.0,3.0,2.0,0,2,0,0,1.0,3.0,1,1,3.0
6773,2.0,4.0,3.0,1.0,0,2,0,1,1.0,4.0,0,1,3.0
6775,4.0,3.0,4.0,2.0,2,2,0,0,1.0,4.0,1,1,3.0
6779,3.0,1.0,3.0,1.0,0,2,0,0,2.0,2.0,0,0,4.0
6783,5.0,5.0,6.0,1.0,0,2,0,0,1.0,3.0,0,3,1.0
6789,4.0,6.0,5.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
6792,3.0,3.0,3.0,2.0,2,2,0,1,1.0,4.0,1,1,3.0
6793,3.0,4.0,3.0,2.0,2,2,0,0,1.0,4.0,1,1,3.0
6795,5.0,7.0,5.0,2.0,0,2,0,1,1.0,4.0,1,1,4.0
6806,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
6807,1.0,5.0,1.0,2.0,0,2,0,1,2.0,4.0,1,1,5.0
6814,4.0,7.0,4.0,2.0,3,2,0,1,1.0,4.0,1,1,3.0
6816,1.0,1.0,1.0,1.0,0,2,0,0,1.0,3.0,0,3,4.0
6817,6.0,7.0,6.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
6829,2.0,2.0,2.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
6832,3.0,2.0,3.0,1.0,2,2,0,0,1.0,3.0,0,1,3.0
6838,1.0,2.0,1.0,1.0,0,2,0,0,1.0,2.0,0,0,2.0
6840,3.0,2.0,4.0,1.0,2,2,0,0,2.0,1.0,0,4,3.0
6841,3.0,4.0,3.0,1.0,0,2,0,1,2.0,4.0,0,1,3.0
6848,3.0,2.0,4.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
6856,6.0,8.0,6.0,1.0,1,2,0,1,1.0,4.0,0,1,5.0
6857,1.0,1.0,1.0,1.0,0,2,0,0,1.0,2.0,0,2,5.0
6859,6.0,3.0,6.0,2.0,3,2,0,1,1.0,2.0,1,1,4.0
6894,1.0,1.0,2.0,2.0,1,2,0,0,1.0,5.0,1,1,4.0
6896,9.0,8.0,9.0,1.0,0,2,0,1,1.0,4.0,0,1,3.0
6900,5.0,3.0,6.0,1.0,1,2,0,0,1.0,4.0,0,1,3.0
6902,6.0,6.0,6.0,2.0,2,2,0,1,1.0,4.0,1,1,3.0
6903,1.0,1.0,1.0,2.0,1,2,0,1,1.0,5.0,1,1,4.0
6904,10.0,6.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,5.0
6906,2.0,2.0,3.0,2.0,3,2,0,0,1.0,3.0,1,1,4.0
6909,6.0,5.0,6.0,2.0,0,2,0,1,1.0,4.0,1,1,3.0
6913,1.0,1.0,2.0,2.0,2,2,0,1,1.0,2.0,1,1,3.0
6925,4.0,2.0,5.0,2.0,0,2,0,1,1.0,5.0,1,1,2.0
6930,1.0,5.0,1.0,2.0,0,2,0,0,2.0,2.0,1,0,3.0
6933,1.0,1.0,2.0,1.0,0,2,0,0,1.0,3.0,0,1,3.0
6943,6.0,2.0,6.0,1.0,0,2,0,0,1.0,3.0,0,0,3.0
6944,4.0,6.0,4.0,2.0,2,2,0,1,1.0,4.0,1,1,5.0
6949,9.0,10.0,9.0,2.0,0,2,0,1,1.0,5.0,1,1,4.0
6950,2.0,2.0,2.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
6960,2.0,1.0,2.0,2.0,2,2,0,1,1.0,3.0,1,0,4.0
6965,2.0,1.0,2.0,2.0,0,2,0,0,1.0,2.0,1,1,4.0
6966,10.0,10.0,10.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
6969,1.0,1.0,2.0,1.0,0,2,0,0,1.0,4.0,0,1,2.0
6973,1.0,2.0,1.0,1.0,2,2,0,0,1.0,2.0,0,0,4.0
6980,3.0,4.0,3.0,2.0,2,2,0,1,1.0,4.0,1,1,4.0
6982,1.0,1.0,1.0,1.0,2,2,0,0,1.0,3.0,0,0,4.0
6986,1.0,1.0,1.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
6999,4.0,5.0,4.0,1.0,0,2,0,1,1.0,3.0,0,1,5.0
7005,5.0,7.0,5.0,1.0,2,2,0,0,1.0,3.0,0,1,2.0
7006,3.0,2.0,3.0,2.0,2,2,0,0,1.0,2.0,1,1,5.0
7007,3.0,3.0,3.0,2.0,0,2,0,0,1.0,4.0,1,1,2.0
7012,2.0,4.0,2.0,1.0,0,2,0,0,2.0,3.0,0,1,5.0
7021,7.0,8.0,7.0,1.0,0,2,0,1,1.0,4.0,0,2,3.0
7022,6.0,3.0,6.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
7024,3.0,7.0,4.0,2.0,2,2,0,0,2.0,3.0,1,1,5.0
7025,3.0,3.0,4.0,2.0,2,2,0,0,1.0,4.0,1,1,4.0
7031,6.0,7.0,6.0,1.0,0,2,0,0,1.0,2.0,0,1,5.0
7033,10.0,9.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
7036,4.0,4.0,5.0,1.0,0,2,0,0,1.0,4.0,0,1,4.0
7037,1.0,1.0,1.0,2.0,0,2,0,0,1.0,4.0,1,2,3.0
7039,10.0,10.0,10.0,1.0,2,2,0,1,1.0,3.0,0,1,3.0
7040,6.0,5.0,6.0,2.0,0,2,0,1,1.0,3.0,1,1,2.0
7049,4.0,6.0,4.0,1.0,2,2,0,1,1.0,4.0,0,1,4.0
7054,1.0,1.0,1.0,2.0,0,2,0,0,1.0,3.0,1,3,4.0
7055,10.0,8.0,10.0,2.0,2,2,0,1,1.0,3.0,1,1,3.0
7060,3.0,3.0,4.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
7063,9.0,5.0,9.0,2.0,1,2,0,1,1.0,3.0,1,1,5.0
7069,1.0,1.0,2.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
7078,4.0,3.0,5.0,1.0,0,2,0,0,1.0,1.0,0,3,1.0
7079,6.0,6.0,7.0,2.0,0,2,0,1,1.0,3.0,1,1,2.0
7082,1.0,1.0,1.0,1.0,1,2,0,1,1.0,4.0,0,1,3.0
7085,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7091,2.0,3.0,2.0,2.0,0,2,0,1,1.0,3.0,1,1,4.0
7093,9.0,10.0,9.0,1.0,1,2,0,1,1.0,3.0,0,1,3.0
7095,1.0,1.0,1.0,2.0,0,2,0,0,1.0,3.0,1,1,3.0
7100,4.0,4.0,4.0,1.0,0,2,0,0,2.0,4.0,0,3,4.0
7101,4.0,2.0,4.0,2.0,1,2,0,0,1.0,4.0,1,1,5.0
7102,3.0,5.0,4.0,1.0,2,2,0,1,1.0,4.0,0,1,3.0
7108,2.0,1.0,2.0,1.0,0,2,0,0,1.0,2.0,0,1,2.0
7111,1.0,1.0,2.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
7112,1.0,2.0,1.0,2.0,0,2,0,0,1.0,4.0,1,3,3.0
7114,5.0,4.0,5.0,2.0,0,2,0,0,2.0,3.0,1,1,5.0
7123,4.0,3.0,4.0,2.0,1,2,0,1,1.0,3.0,1,1,3.0
7131,2.0,2.0,2.0,1.0,2,2,0,0,1.0,3.0,0,1,2.0
7132,7.0,7.0,7.0,1.0,0,2,0,0,1.0,3.0,0,3,1.0
7140,3.0,1.0,4.0,1.0,2,2,0,0,1.0,2.0,0,1,3.0
7153,5.0,3.0,5.0,1.0,0,2,0,0,2.0,3.0,0,1,5.0
7156,9.0,10.0,9.0,1.0,3,2,0,1,1.0,4.0,0,1,4.0
7159,3.0,2.0,3.0,2.0,2,2,0,0,1.0,3.0,1,1,5.0
7161,3.0,4.0,3.0,2.0,0,2,0,1,1.0,5.0,1,1,3.0
7166,6.0,8.0,6.0,1.0,2,2,0,1,1.0,3.0,0,1,3.0
7172,3.0,2.0,3.0,1.0,2,2,0,0,1.0,3.0,0,1,4.0
7173,2.0,3.0,2.0,2.0,3,2,0,0,1.0,3.0,1,1,4.0
7175,1.0,5.0,2.0,1.0,2,2,0,1,1.0,4.0,0,1,5.0
7176,2.0,2.0,2.0,1.0,0,2,0,1,1.0,4.0,0,1,3.0
7179,3.0,4.0,3.0,2.0,3,2,0,0,1.0,4.0,1,1,5.0
7180,7.0,8.0,7.0,2.0,0,2,0,0,1.0,5.0,1,1,2.0
7186,2.0,1.0,3.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
7187,2.0,2.0,2.0,2.0,0,2,0,0,1.0,4.0,1,1,2.0
7193,1.0,2.0,2.0,1.0,0,2,0,1,1.0,4.0,0,2,4.0
7196,1.0,2.0,1.0,2.0,2,2,0,0,1.0,3.0,1,1,3.0
7199,4.0,3.0,4.0,1.0,0,2,0,0,1.0,5.0,0,1,3.0
7203,4.0,2.0,4.0,2.0,0,2,0,0,1.0,2.0,1,0,1.0
7205,7.0,7.0,7.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
7207,3.0,2.0,4.0,2.0,2,2,0,0,1.0,2.0,1,2,4.0
7211,2.0,1.0,3.0,2.0,0,2,0,0,1.0,4.0,1,4,3.0
7215,6.0,5.0,7.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
7220,5.0,8.0,6.0,1.0,1,2,0,1,1.0,3.0,0,1,4.0
7223,4.0,2.0,4.0,2.0,3,2,0,0,1.0,2.0,1,1,4.0
7233,1.0,1.0,1.0,2.0,1,2,0,0,1.0,3.0,1,1,4.0
7236,1.0,1.0,1.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
7237,2.0,1.0,2.0,1.0,2,2,0,0,1.0,4.0,0,1,4.0
7238,6.0,8.0,6.0,2.0,1,2,0,0,1.0,5.0,1,1,4.0
7248,9.0,10.0,9.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
7249,9.0,8.0,9.0,2.0,2,2,0,1,1.0,4.0,1,1,4.0
7256,8.0,6.0,8.0,2.0,2,2,0,1,2.0,3.0,1,1,3.0
7261,3.0,5.0,3.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
7263,9.0,10.0,9.0,1.0,1,2,0,0,1.0,3.0,0,1,2.0
7267,10.0,10.0,10.0,1.0,3,2,0,1,1.0,4.0,0,1,3.0
7274,7.0,6.0,7.0,1.0,2,2,0,0,2.0,4.0,0,1,4.0
7292,4.0,5.0,5.0,1.0,2,2,0,0,1.0,3.0,0,1,4.0
7294,8.0,6.0,8.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
7306,1.0,1.0,2.0,1.0,2,2,0,1,1.0,4.0,0,1,3.0
7308,1.0,3.0,1.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7317,8.0,8.0,8.0,2.0,1,2,0,1,1.0,3.0,1,1,6.0
7319,10.0,2.0,10.0,1.0,1,2,0,1,1.0,5.0,0,1,5.0
7324,7.0,6.0,7.0,2.0,3,2,0,0,1.0,4.0,1,1,5.0
7337,1.0,1.0,1.0,1.0,0,2,0,0,1.0,3.0,0,0,5.0
7340,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7347,6.0,6.0,7.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
7356,1.0,1.0,2.0,1.0,0,2,0,0,1.0,1.0,0,3,5.0
7359,7.0,6.0,8.0,1.0,1,2,0,0,1.0,2.0,0,1,2.0
7365,2.0,1.0,3.0,1.0,0,2,0,0,1.0,3.0,0,1,4.0
7369,3.0,2.0,3.0,2.0,3,2,0,1,1.0,3.0,1,1,4.0
7375,1.0,1.0,1.0,2.0,0,2,0,0,1.0,3.0,1,1,3.0
7386,1.0,1.0,1.0,1.0,1,2,0,0,1.0,4.0,0,3,6.0
7390,5.0,4.0,6.0,2.0,1,2,0,1,1.0,3.0,1,1,3.0
7392,1.0,3.0,2.0,1.0,0,2,0,1,1.0,2.0,0,1,3.0
7398,3.0,3.0,4.0,2.0,0,2,0,1,1.0,3.0,1,3,3.0
7408,2.0,4.0,3.0,1.0,0,2,0,0,1.0,3.0,0,0,3.0
7419,9.0,8.0,9.0,1.0,3,2,0,1,1.0,4.0,0,1,4.0
7429,5.0,7.0,6.0,1.0,0,2,0,0,1.0,4.0,0,1,3.0
7435,5.0,4.0,5.0,1.0,1,2,0,0,1.0,4.0,0,1,5.0
7450,8.0,7.0,8.0,1.0,0,2,0,0,1.0,4.0,0,1,1.0
7455,6.0,7.0,6.0,1.0,1,2,0,0,2.0,4.0,0,1,5.0
7463,7.0,8.0,7.0,2.0,1,2,0,1,1.0,5.0,1,1,2.0
7469,2.0,2.0,3.0,2.0,0,2,0,0,2.0,4.0,1,1,3.0
7480,6.0,3.0,6.0,1.0,1,2,0,1,1.0,3.0,0,4,3.0
7486,9.0,9.0,9.0,1.0,3,2,0,1,1.0,4.0,0,4,4.0
7487,8.0,7.0,8.0,2.0,0,2,0,0,1.0,4.0,1,1,2.0
7505,9.0,10.0,9.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7506,5.0,3.0,5.0,2.0,0,2,0,0,1.0,4.0,1,1,2.0
7515,3.0,3.0,3.0,2.0,0,2,0,0,1.0,4.0,1,1,3.0
7520,9.0,8.0,9.0,2.0,3,2,0,1,1.0,3.0,1,1,4.0
7522,5.0,2.0,6.0,1.0,2,2,0,0,1.0,5.0,0,1,5.0
7540,6.0,5.0,6.0,1.0,1,2,0,1,1.0,4.0,0,2,4.0
7544,4.0,5.0,4.0,1.0,0,2,0,0,1.0,3.0,0,1,3.0
7551,2.0,4.0,3.0,2.0,0,2,0,0,1.0,2.0,1,1,2.0
7553,5.0,8.0,6.0,1.0,2,2,0,1,1.0,5.0,0,1,3.0
7558,4.0,3.0,4.0,1.0,1,2,0,1,1.0,4.0,0,1,3.0
7559,9.0,7.0,9.0,2.0,1,2,0,1,2.0,4.0,1,1,4.0
7560,5.0,6.0,5.0,1.0,0,2,0,1,1.0,2.0,0,1,3.0
7571,5.0,5.0,6.0,1.0,0,2,0,0,1.0,3.0,0,1,3.0
7577,5.0,4.0,5.0,2.0,2,2,0,1,1.0,4.0,1,1,3.0
7595,5.0,9.0,5.0,2.0,0,2,0,1,1.0,3.0,1,1,3.0
7606,5.0,3.0,6.0,1.0,0,2,0,0,1.0,2.0,0,1,2.0
7610,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,6.0
7615,4.0,3.0,5.0,2.0,2,2,0,1,1.0,4.0,1,1,3.0
7617,7.0,6.0,7.0,1.0,1,2,0,1,1.0,3.0,0,1,4.0
7626,4.0,4.0,4.0,1.0,1,2,0,1,1.0,4.0,0,1,3.0
7629,3.0,1.0,3.0,2.0,1,2,0,0,1.0,3.0,1,2,3.0
7635,9.0,7.0,9.0,1.0,1,2,0,1,1.0,4.0,0,1,3.0
7646,10.0,9.0,10.0,2.0,2,2,0,1,2.0,4.0,1,1,3.0
7654,4.0,6.0,4.0,2.0,1,2,0,1,2.0,4.0,1,1,3.0
7660,6.0,5.0,6.0,2.0,3,2,0,1,1.0,4.0,1,1,4.0
7662,5.0,2.0,6.0,2.0,0,2,0,0,1.0,3.0,1,1,3.0
7673,4.0,1.0,4.0,2.0,2,2,0,0,1.0,3.0,1,1,3.0
7677,1.0,1.0,1.0,2.0,0,2,0,0,1.0,4.0,1,0,4.0
7680,7.0,3.0,7.0,1.0,3,2,0,1,1.0,4.0,0,1,4.0
7688,1.0,1.0,1.0,1.0,0,2,0,0,1.0,2.0,0,3,3.0
7691,2.0,1.0,2.0,1.0,0,2,0,0,1.0,3.0,0,3,3.0
7692,1.0,2.0,1.0,1.0,0,2,0,0,2.0,3.0,0,3,3.0
7695,10.0,10.0,10.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7700,4.0,4.0,4.0,2.0,1,2,0,1,1.0,3.0,1,1,4.0
7709,6.0,5.0,6.0,2.0,1,2,0,1,1.0,4.0,1,1,4.0
7713,1.0,1.0,1.0,2.0,3,2,0,0,1.0,3.0,1,1,3.0
7714,7.0,2.0,8.0,2.0,1,2,0,1,1.0,3.0,1,1,3.0
7718,10.0,10.0,10.0,1.0,2,2,0,1,1.0,4.0,0,1,3.0
7724,3.0,3.0,4.0,2.0,1,2,0,0,1.0,4.0,1,1,5.0
7727,6.0,7.0,6.0,2.0,1,2,0,1,1.0,4.0,1,1,3.0
7728,5.0,3.0,6.0,1.0,2,2,0,0,1.0,4.0,0,1,3.0
7730,10.0,10.0,10.0,2.0,0,2,0,1,2.0,3.0,1,1,2.0
7732,1.0,1.0,1.0,1.0,0,2,0,0,1.0,4.0,0,3,4.0
7738,1.0,2.0,1.0,1.0,0,2,0,1,1.0,5.0,0,2,6.0
7741,4.0,3.0,4.0,1.0,0,2,0,0,1.0,5.0,0,1,3.0
7745,3.0,2.0,3.0,2.0,0,2,0,1,1.0,2.0,1,4,6.0
7748,7.0,8.0,7.0,2.0,2,2,0,1,1.0,2.0,1,1,2.0
7750,8.0,6.0,8.0,1.0,0,2,0,0,2.0,3.0,0,1,3.0
7757,7.0,7.0,7.0,2.0,2,2,0,1,1.0,5.0,1,1,5.0
7758,3.0,6.0,3.0,2.0,2,2,0,1,1.0,5.0,1,1,3.0
7759,3.0,3.0,4.0,2.0,2,2,0,0,1.0,5.0,1,1,3.0
7762,5.0,4.0,5.0,1.0,1,2,0,1,1.0,2.0,0,1,4.0
7764,2.0,1.0,2.0,2.0,3,2,0,0,1.0,3.0,1,2,5.0
7771,8.0,6.0,8.0,2.0,1,2,0,1,1.0,5.0,1,1,3.0
7775,1.0,1.0,1.0,2.0,0,2,0,0,1.0,4.0,1,1,2.0
7783,1.0,1.0,2.0,2.0,2,2,0,1,1.0,3.0,1,1,3.0
7785,8.0,6.0,8.0,2.0,0,2,0,1,1.0,4.0,1,1,3.0
7790,5.0,4.0,5.0,2.0,0,2,0,1,1.0,4.0,1,1,3.0
7791,7.0,7.0,7.0,2.0,2,2,0,1,1.0,3.0,1,1,3.0
7801,10.0,10.0,10.0,2.0,0,2,0,1,2.0,4.0,1,1,2.0
7812,9.0,10.0,9.0,1.0,2,2,0,1,1.0,5.0,0,1,3.0
